Município;Nascim_p/ocorrênc
430003 ACEGUA;2421
430005 AGUA SANTA;3
430010 AGUDO;1625
430020 AJURICABA;1085
430030 ALECRIM;731
430040 ALEGRETE;26184
430045 ALEGRIA;319
430050 ALPESTRE;1507
430055 ALTO ALEGRE;1
430060 ALVORADA;50655
430063 AMARAL FERRADOR;30
430064 AMETISTA DO SUL;1198
430070 ANTA GORDA;584
430080 ANTONIO PRADO;2802
430085 ARAMBARE;11
430087 ARARICA;3
430090 ARATIBA;1203
430100 ARROIO DO MEIO;6335
430105 ARROIO DO SAL;12
430107 ARROIO DO PADRE;1
430110 ARROIO DOS RATOS;794
430120 ARROIO DO TIGRE;5067
430130 ARROIO GRANDE;2813
430140 ARVOREZINHA;2053
430150 AUGUSTO PESTANA;390
430155 AUREA;8
430160 BAGE;45858
430163 BALNEARIO PINHAL;41
430165 BARAO;132
430170 BARAO DE COTEGIPE;551
430175 BARAO DO TRIUNFO;52
430180 BARRACAO;525
430185 BARRA DO GUARITA;4
430187 BARRA DO QUARAI;67
430190 BARRA DO RIBEIRO;119
430192 BARRA DO RIO AZUL;2
430195 BARRA FUNDA;1
430200 BARROS CASSAL;1261
430205 BENJAMIN CONSTANT DO SUL;47
430210 BENTO GONCALVES;36312
430215 BOA VISTA DAS MISSOES;1
430220 BOA VISTA DO BURICA;984
430222 BOA VISTA DO CADEADO;1
430223 BOA VISTA DO INCRA;1
430225 BOA VISTA DO SUL;1
430230 BOM JESUS;2891
430235 BOM PRINCIPIO;2615
430237 BOM PROGRESSO;2
430240 BOM RETIRO DO SUL;2671
430245 BOQUEIRAO DO LEAO;2507
430250 BOSSOROCA;243
430258 BOZANO;1
430260 BRAGA;271
430265 BROCHIER;183
430270 BUTIA;476
430280 CACAPAVA DO SUL;9504
430290 CACEQUI;1237
430300 CACHOEIRA DO SUL;28531
430310 CACHOEIRINHA;36899
430320 CACIQUE DOBLE;571
430330 CAIBATE;1344
430340 CAICARA;789
430350 CAMAQUA;30218
430355 CAMARGO;1
430360 CAMBARA DO SUL;1428
430367 CAMPESTRE DA SERRA;4
430370 CAMPINA DAS MISSOES;1469
430380 CAMPINAS DO SUL;887
430390 CAMPO BOM;18599
430400 CAMPO NOVO;836
430410 CAMPOS BORGES;68
430420 CANDELARIA;8542
430430 CANDIDO GODOI;1198
430435 CANDIOTA;69
430440 CANELA;12374
430450 CANGUCU;14650
430460 CANOAS;81800
430462 CAPAO BONITO DO SUL;1
430463 CAPAO DA CANOA;24615
430465 CAPAO DO CIPO;3
430466 CAPAO DO LEAO;23
430467 CAPIVARI DO SUL;8
430468 CAPELA DE SANTANA;4
430469 CAPITAO;4
430470 CARAZINHO;20849
430471 CARAA;24
430480 CARLOS BARBOSA;4391
430485 CARLOS GOMES;5
430490 CASCA;1683
430500 CATUIPE;174
430510 CAXIAS DO SUL;160760
430511 CENTENARIO;1
430512 CERRITO;13
430513 CERRO BRANCO;43
430515 CERRO GRANDE;3
430517 CERRO GRANDE DO SUL;50
430520 CERRO LARGO;2696
430530 CHAPADA;799
430535 CHARQUEADAS;524
430537 CHARRUA;22
430540 CHIAPETTA;1356
430543 CHUI;50
430544 CHUVISCA;15
430545 CIDREIRA;44
430550 CIRIACO;461
430560 COLORADO;1
430570 CONDOR;787
430580 CONSTANTINA;2181
430587 CORONEL BARROS;1
430590 CORONEL BICACO;835
430595 COTIPORA;12
430597 COXILHA;4
430600 CRISSIUMAL;3761
430605 CRISTAL;23
430610 CRUZ ALTA;25515
430613 CRUZALTENSE;1
430620 CRUZEIRO DO SUL;1216
430630 DAVID CANABARRO;1402
430632 DERRUBADAS;10
430635 DEZESSEIS DE NOVEMBRO;12
430637 DILERMANDO DE AGUIAR;7
